time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-02-12 23:30:11, 26.6313,67.3663,1000.0,   18,     ,     ,     ,   ,   ,     ,   ,    
2026-02-12 23:30:11, 26.6313,67.3663, 977.9,  180,-28.5,-31.6,-28.7, 75, 98, 0.28,160, 0.9
2026-02-12 23:30:13, 26.6313,67.3664, 976.8,  189,-27.9,-29.2,-26.4, 89,116, 0.35,211, 0.8
2026-02-12 23:30:15, 26.6314,67.3664, 975.3,  200,-27.6,-28.5,-25.7, 92,121, 0.38,227, 1.0
2026-02-12 23:30:17, 26.6313,67.3664, 973.8,  211,-27.5,-28.5,-25.8, 91,119, 0.37,226, 1.1
2026-02-12 23:30:19, 26.6313,67.3664, 972.3,  222,-27.5,-28.7,-26.0, 90,118, 0.37,224, 1.3
2026-02-12 23:30:21, 26.6314,67.3665, 970.8,  233,-27.5,-28.8,-26.0, 89,116, 0.37,223, 1.5
2026-02-12 23:30:23, 26.6313,67.3665, 969.3,  244,-27.4,-28.7,-26.0, 88,115, 0.37,222, 1.7
2026-02-12 23:30:25, 26.6314,67.3665, 967.8,  255,-27.4,-28.7,-26.0, 88,115, 0.37,221, 1.9
2026-02-12 23:30:27, 26.6316,67.3665, 966.3,  266,-27.4,-28.7,-25.9, 89,116, 0.37,219, 2.2
2026-02-12 23:30:29, 26.6315,67.3666, 964.9,  277,-27.4,-28.5,-25.8, 90,118, 0.38,218, 2.4
2026-02-12 23:30:31, 26.6316,67.3666, 963.5,  287,-27.4,-28.3,-25.5, 92,121, 0.39,216, 2.8
2026-02-12 23:30:33, 26.6318,67.3666, 962.2,  297,-27.3,-28.0,-25.3, 94,123, 0.40,215, 3.1
2026-02-12 23:30:35, 26.6319,67.3667, 960.8,  307,-27.3,-27.9,-25.2, 95,124, 0.40,213, 3.4
