Time (s),Thrust (N),Oxidizer Tank Pressure (kPa),Combustion Chamber Pressure (kPa),Injector Pressure Drop (kPa),Oxidizer Mass (kg),Fuel Mass (kg),Oxidizer Mass Flow Rate (kg/s),Fuel Mass Flow Rate (kg/s),Exhaust Mass Flow Rate (kg/s),Oxidizer to Fuel Ratio,Grain ID (cm),Regression Rate (mm/s)
0,0,5060.1283,101.325,0,1,0.89806353,0,0,0,8.27,2,0
0.001,0,5060.1283,200.21101,-6.4923746,0.99556047,0.89752671,4.4395308,0.53682355,0.025176459,8.27,2.0115068,0.057534089
0.002,51.003971,5053.6359,296.66624,-8.0601611,0.99116715,0.89699547,4.3933237,0.53123623,0.04970635,8.27,2.0228287,0.05660957
0.003,107.31589,5045.5758,390.35583,-8.3848816,0.98681989,0.8964698,4.347256,0.52566579,0.073594901,8.27,2.0339692,0.055702447
0.004,161.90876,5037.1909,481.1907,-8.3986523,0.98251807,0.89594963,4.3018161,0.52017124,0.096762442,8.27,2.0449329,0.054818309
0.005,214.78744,5028.7922,569.17839,-8.3364223,0.97826092,0.89543486,4.2571535,0.51477068,0.11919033,8.27,2.0557245,0.053958319
0.006,265.97644,5020.4558,654.37242,-8.2568226,0.97404761,0.89492539,4.2133145,0.50946972,0.1408171,8.27,2.066349,0.053122331
0.007,315.5252,5012.199,736.84812,-8.1743093,0.9698773,0.89442112,4.1703088,0.5042695,0.16168883,8.27,2.076811,0.052309757
0.008,363.48787,5004.0247,816.69171,-8.0923895,0.96574917,0.89392195,4.1281307,0.49916937,0.18184498,8.27,2.0871149,0.051519855
0.009,409.91971,4995.9323,893.9944,-8.0118836,0.9616624,0.89342779,4.0867675,0.49416777,0.20131176,8.27,2.0972653,0.050751832
0.01,454.87689,4987.9204,968.84898,-7.9329579,0.9576162,0.89293852,4.0462024,0.48926269,0.22011622,8.27,2.1072663,0.050004881
0.011,498.41521,4979.9874,1041.3477,-7.8556191,0.95360978,0.89245407,4.0064166,0.48445182,0.23828534,8.27,2.1171219,0.049278202
0.012,540.59486,4972.1318,1111.5798,-7.7798353,0.94964239,0.89197434,3.9673898,0.47973275,0.25591096,8.27,2.1268361,0.048571014
0.013,581.46756,4964.352,1179.6324,-7.7055653,0.94571329,0.89149924,3.9291021,0.47510304,0.27300991,8.27,2.1364126,0.04788257
0.014,621.0801,4956.6464,1245.5902,-7.6327662,0.94182175,0.89102868,3.8915332,0.47056024,0.28955934,8.27,2.1458551,0.047212148
0.015,659.48173,4949.0137,1309.5349,-7.5613941,0.93796709,0.89056257,3.8546624,0.46610187,0.30558169,8.27,2.1551669,0.046559052
0.016,696.71966,4941.4523,1371.5449,-7.4914056,0.93414862,0.89010085,3.8184697,0.46172548,0.3210985,8.27,2.1643514,0.045922615
0.017,732.83913,4933.9609,1431.6952,-7.4227584,0.93036569,0.88964342,3.7829352,0.45742869,0.33613036,8.27,2.1734118,0.0453022
0.018,767.88339,4926.5381,1490.0576,-7.3554111,0.92661765,0.88919021,3.7480397,0.45320916,0.3506969,8.27,2.1823513,0.0446972
0.019,801.89375,4919.1827,1546.7005,-7.2893238,0.92290388,0.88874115,3.7137645,0.44906463,0.36481686,8.27,2.1911727,0.044107035
0.02,834.91321,4911.8934,1601.6889,-7.2244578,0.91922379,0.88829615,3.6800915,0.44499292,0.37855204,8.27,2.1998789,0.043531153
0.021,866.97629,4904.6689,1655.0848,-7.1607766,0.91557679,0.88785516,3.6470036,0.44099197,0.3918863,8.27,2.2084727,0.042969033
0.022,898.11803,4897.5081,1706.948,-7.0982445,0.9119623,0.8874181,3.614484,0.43705974,0.40482647,8.27,2.2169568,0.042420173
0.023,928.37265,4890.4099,1757.3353,-7.0368269,0.90837979,0.88698491,3.5825165,0.43319426,0.4173877,8.27,2.2253336,0.041884096
0.024,957.7728,4883.3731,1806.3009,-6.9764907,0.9048287,0.88655551,3.5510855,0.42939365,0.42958442,8.27,2.2336056,0.041360347
0.025,986.34964,4876.3966,1853.8966,-6.9172039,0.90130853,0.88612986,3.5201758,0.42565608,0.44143038,8.27,2.2417753,0.040848491
0.026,1014.1329,4869.4794,1900.1718,-6.8589357,0.89781875,0.88570788,3.4897729,0.42197979,0.45293866,8.27,2.249845,0.040348114
0.027,1041.1509,4862.6204,1945.1737,-6.8016567,0.89435889,0.88528951,3.4598629,0.4183631,0.46412176,8.27,2.2578167,0.039858822
0.028,1067.4308,4855.8188,1988.9472,-6.7453383,0.89092846,0.88487471,3.4304322,0.41480438,0.47499155,8.27,2.2656928,0.039380236
0.029,1092.9984,4849.0734,2031.5353,-6.6899534,0.88752699,0.88446341,3.401468,0.41130206,0.4855594,8.27,2.2734752,0.038911999
0.03,1117.8811,4842.3835,2072.9789,-6.6354758,0.88415403,0.88405555,3.3729578,0.40785464,0.49585628,8.27,2.2811659,0.038453764
0.031,1142.1007,4835.748,2113.317,-6.5818806,0.88080914,0.88365109,3.3448899,0.40446069,0.5058795,8.27,2.288767,0.038005208
0.032,1165.6787,4829.1661,2152.5872,-6.5291437,0.87749189,0.88324997,3.3172527,0.40111883,0.51563191,8.27,2.2962802,0.037566016
0.033,1188.6366,4822.637,2190.8253,-6.477242,0.87420185,0.88285215,3.2900351,0.39782771,0.52512286,8.27,2.3037074,0.037135889
0.034,1210.9952,4816.1597,2228.0658,-6.426153,0.87093863,0.88245756,3.2632266,0.39458604,0.53436128,8.27,2.3110503,0.036714539
0.035,1232.7742,4809.7336,2264.3415,-6.3758553,0.86770181,0.88206617,3.2368167,0.39139258,0.54335572,8.27,2.3183106,0.036301693
0.036,1253.9925,4803.3577,2299.6838,-6.3263281,0.86449102,0.88167792,3.2107955,0.38824614,0.55211435,8.27,2.32549,0.035897086
0.037,1274.6683,4797.0314,2334.1229,-6.2775516,0.86130586,0.88129278,3.1851536,0.38514554,0.560645,8.27,2.3325901,0.035500467
0.038,1294.8189,4790.7539,2367.6878,-6.2295066,0.85814598,0.88091069,3.1598817,0.38208969,0.56895514,8.27,2.3396124,0.035111595
0.039,1314.4609,4784.5243,2400.406,-6.1821746,0.85501101,0.88053161,3.1349709,0.3790775,0.57705194,8.27,2.3465585,0.034730238
0.04,1333.6104,4778.3422,2432.3041,-6.1355378,0.8519006,0.8801555,3.1104127,0.37610795,0.58494225,8.27,2.3534297,0.034356175
0.041,1352.2826,4772.2066,2463.4077,-6.0895791,0.8488144,0.87978232,3.0861989,0.37318003,0.59263267,8.27,2.3602276,0.033989192
0.042,1370.4923,4766.1171,2493.7412,-6.0442821,0.84575208,0.87941203,3.0623214,0.37029279,0.60012948,8.27,2.3669534,0.033629085
0.043,1388.2534,4760.0728,2523.3279,-5.9996309,0.8427133,0.87904458,3.0387726,0.36744529,0.60743874,8.27,2.3736085,0.033275659
0.044,1405.5808,4754.0731,2552.1904,-5.9556101,0.83969776,0.87867995,3.015545,0.36463664,0.61457824,8.27,2.3801942,0.032928723
0.045,1422.4863,4748.1175,2580.3502,-5.9122051,0.83670513,0.87831808,2.9926317,0.36186599,0.62154463,8.27,2.3867119,0.0325881
0.046,1438.9824,4742.2053,2607.8281,-5.8694018,0.8337351,0.87795895,2.9700258,0.3591325,0.62834008,8.27,2.3931626,0.032253615
0.047,1455.081,4736.3359,2634.6442,-5.8271865,0.83078738,0.87760251,2.9477205,0.35643537,0.63496969,8.27,2.3995476,0.0319251
